horizon,mse,rmse,mae,mape,mdape,smape,coverage
198 days,18.627659211171796,4.315977202346161,3.5480342156762683,0.01217602362198024,0.010696788250198168,0.012157568782842496,0.929663608562691
199 days,16.912158679009533,4.112439504601804,3.396677831082103,0.01166537275333747,0.009958500356645032,0.011643859503450532,0.948012232415902
200 days,15.52413169306296,3.9400674731612098,3.291692121145953,0.01132003632355341,0.009958500356645032,0.011292873099782953,0.9602446483180429
201 days,14.523729358272297,3.811001096598149,3.1786660214326705,0.010936257320898028,0.009786094484322,0.01090594402389753,0.9694189602446484
202 days,14.065363528283566,3.7503817843365717,3.1249947997566263,0.010749362802928802,0.00967240638633525,0.010717690760430979,0.9724770642201835
203 days,13.612370577489807,3.6894946235886845,3.088582529653209,0.010618547606528722,0.009519298971417001,0.01058622742742988,0.9785932721712539
204 days,13.080561279197255,3.6167058601989264,3.052414810796232,0.010496751536862525,0.00967240638633525,0.010462163285534017,0.9877675840978594
205 days,12.649688725535464,3.556640089401156,3.02875340146584,0.010419203284009589,0.00967240638633525,0.010382105410526461,0.9969418960244649
206 days,12.45851061895884,3.5296615445335324,3.0198833997011723,0.010390712542639407,0.00967240638633525,0.010352095032894963,1.0
207 days,12.386093129724706,3.5193881754823106,3.0169258259212057,0.010380208937057187,0.00967240638633525,0.010341060102499347,1.0
208 days,12.383514550398257,3.5190218172665904,3.022913580059189,0.010397118435232729,0.009519298971417001,0.010358324099297524,1.0
209 days,12.467356864951359,3.530914451661405,3.054665194738654,0.010499735512192382,0.00967240638633525,0.010461675063064623,1.0
210 days,12.512756660378587,3.537337510102561,3.0793279042452912,0.010575602498160397,0.009948623416804378,0.010539305904881047,1.0
211 days,12.669670142500026,3.5594480109281026,3.099909269969143,0.010638067742966488,0.009948623416804378,0.010604626609281563,1.0
212 days,13.116068903357673,3.6216113683494084,3.147756639587885,0.010800648291217605,0.009948623416804378,0.010770039471944525,1.0
213 days,13.382465709063213,3.6582052579185893,3.1830645232456884,0.010925706954211366,0.010113550344216569,0.010895569515101096,1.0
214 days,13.690255355365334,3.700034507320889,3.238572930875699,0.011114834890656103,0.010283183187318261,0.011084536420310227,1.0
215 days,14.278042509085525,3.778629713148078,3.3034872957628805,0.01134359098398243,0.01063206331145966,0.011310824613137592,1.0
