index,ds,city_name,y,temp_min,temp_max,rain_1h,clouds_all
3984,2017-03-06,Valencia,292.19166666666666,292.19166666666666,292.19166666666666,0.0,14.166666666666666
3989,2017-03-07,Valencia,292.15,292.15,292.15,0.0,0.8333333333333334
3994,2017-03-08,Valencia,289.9,289.9,289.9,0.0,0.0
3999,2017-03-09,Valencia,291.4,291.4,291.4,0.0,0.0
4004,2017-03-10,Valencia,290.3583333333333,290.3583333333333,290.3583333333333,0.0,0.0
4009,2017-03-11,Valencia,287.2333333333333,287.2333333333333,287.2333333333333,0.0,4.166666666666667
4014,2017-03-12,Valencia,287.95,287.95,287.95,0.108,37.0
4019,2017-03-13,Valencia,284.44166666666666,284.44166666666666,284.44166666666666,0.425,87.5
4024,2017-03-14,Valencia,288.06666666666666,288.06666666666666,288.06666666666666,0.0,28.958333333333332
4029,2017-03-15,Valencia,285.9833333333333,285.9833333333333,285.9833333333333,0.0,7.5
4034,2017-03-16,Valencia,285.56666666666666,285.56666666666666,285.56666666666666,0.0,9.166666666666666
4039,2017-03-17,Valencia,284.7333333333333,284.7333333333333,284.7333333333333,0.0,4.166666666666667
4044,2017-03-18,Valencia,285.94166666666666,285.94166666666666,285.94166666666666,0.0,0.0
4049,2017-03-19,Valencia,287.3583333333333,287.3583333333333,287.3583333333333,0.0,0.0
4054,2017-03-20,Valencia,287.525,287.525,287.525,0.0,5.833333333333333
4059,2017-03-21,Valencia,286.65,286.65,286.65,0.0,8.125
4064,2017-03-22,Valencia,288.69166666666666,288.69166666666666,288.69166666666666,0.0,12.5
4069,2017-03-23,Valencia,285.65,285.65,285.65,0.0,19.166666666666668
4074,2017-03-24,Valencia,283.3583333333333,283.3583333333333,283.3583333333333,0.0,18.333333333333332
4079,2017-03-25,Valencia,285.44166666666666,285.44166666666666,285.44166666666666,0.0,11.666666666666666
4084,2017-03-26,Valencia,285.3512083333333,285.3512083333333,285.3512083333333,0.0,24.791666666666668
4089,2017-03-27,Valencia,289.06666666666666,289.06666666666666,289.06666666666666,0.0124999999999999,35.416666666666664
4094,2017-03-28,Valencia,288.0415,288.0415,288.0415,0.0,11.166666666666666
4099,2017-03-29,Valencia,288.7333333333333,288.7333333333333,288.7333333333333,0.0,7.5
4104,2017-03-30,Valencia,288.275,288.275,288.275,0.0,0.0
4109,2017-03-31,Valencia,288.4,288.4,288.4,0.0,9.166666666666666
4114,2017-04-01,Valencia,288.2333333333333,288.2333333333333,288.2333333333333,0.0,14.166666666666666
4119,2017-04-02,Valencia,288.525,288.525,288.525,0.0,6.666666666666667
4124,2017-04-03,Valencia,287.4,287.4,287.4,0.0,5.833333333333333
4129,2017-04-04,Valencia,287.4833333333333,287.4833333333333,287.4833333333333,0.0,5.833333333333333
4134,2017-04-05,Valencia,286.81666666666666,286.81666666666666,286.81666666666666,0.0,8.333333333333334
4139,2017-04-06,Valencia,288.775,288.775,288.775,0.0,11.666666666666666
4144,2017-04-07,Valencia,287.9833333333333,287.9833333333333,287.9833333333333,0.0,2.5
4149,2017-04-08,Valencia,288.025,288.025,288.025,0.0,2.5
4154,2017-04-09,Valencia,287.6083333333333,287.6083333333333,287.6083333333333,0.0,6.666666666666667
4159,2017-04-10,Valencia,288.3583333333333,288.3583333333333,288.3583333333333,0.0,5.833333333333333
4164,2017-04-11,Valencia,290.44166666666666,290.44166666666666,290.44166666666666,0.0,10.0
4169,2017-04-12,Valencia,289.56666666666666,289.56666666666666,289.56666666666666,0.0,0.8333333333333334
4174,2017-04-13,Valencia,290.21291796875,290.21291796875,290.21291796875,0.0,4.541666666666667
4179,2017-04-14,Valencia,293.525,293.525,293.525,0.0,0.0
4184,2017-04-15,Valencia,290.56666666666666,290.56666666666666,290.56666666666666,0.0,6.458333333333333
4189,2017-04-16,Valencia,290.19166666666666,290.19166666666666,290.19166666666666,0.0,15.833333333333334
4194,2017-04-17,Valencia,290.59,290.59,290.59,0.036,27.4
4199,2017-04-18,Valencia,290.775,290.775,290.775,0.0,41.875
4204,2017-04-19,Valencia,288.6083333333333,288.6083333333333,288.6083333333333,0.0,61.458333333333336
4209,2017-04-20,Valencia,287.1083333333333,287.1083333333333,287.1083333333333,0.0124999999999999,58.541666666666664
4214,2017-04-21,Valencia,285.65,285.65,285.65,0.0,32.083333333333336
4219,2017-04-22,Valencia,286.525,286.525,286.525,0.0,18.333333333333332
4224,2017-04-23,Valencia,287.6083333333333,287.6083333333333,287.6083333333333,0.0,0.0
4229,2017-04-24,Valencia,288.025,288.025,288.025,0.0,8.333333333333334
4234,2017-04-25,Valencia,289.94166666666666,289.94166666666666,289.94166666666666,0.0,20.0
4239,2017-04-26,Valencia,290.19166666666666,290.19166666666666,290.19166666666666,0.0249999999999999,42.5
4244,2017-04-27,Valencia,284.3583333333333,284.3583333333333,284.3583333333333,0.25,70.625
4249,2017-04-28,Valencia,285.6083333333333,285.6083333333333,285.6083333333333,0.0,43.125
4254,2017-04-29,Valencia,287.3583333333333,287.3583333333333,287.3583333333333,0.0,69.79166666666667
4259,2017-04-30,Valencia,291.2333333333333,291.2333333333333,291.2333333333333,0.0,26.458333333333332
4264,2017-05-01,Valencia,289.025,289.025,289.025,0.0,4.166666666666667
4269,2017-05-02,Valencia,288.9625833333333,288.9625833333333,288.9625833333333,0.0,4.5
4274,2017-05-03,Valencia,290.06666666666666,290.06666666666666,290.06666666666666,0.0,22.916666666666668
4279,2017-05-04,Valencia,290.19166666666666,290.19166666666666,290.19166666666666,0.0,21.25
4284,2017-05-05,Valencia,291.025,291.025,291.025,0.0,52.083333333333336
4289,2017-05-06,Valencia,294.65,294.65,294.65,0.0,9.166666666666666
4294,2017-05-07,Valencia,292.44166666666666,292.44166666666666,292.44166666666666,0.0,6.666666666666667
4299,2017-05-08,Valencia,292.2333333333333,292.2333333333333,292.2333333333333,0.0,6.666666666666667
4304,2017-05-09,Valencia,292.06666666666666,292.06666666666666,292.06666666666666,0.0,12.5
4309,2017-05-10,Valencia,292.8583333333333,292.8583333333333,292.8583333333333,0.0,22.291666666666668
4314,2017-05-11,Valencia,294.6083333333333,294.6083333333333,294.6083333333333,0.0,16.666666666666668
4319,2017-05-12,Valencia,294.69166666666666,294.69166666666666,294.69166666666666,0.0,15.0
4324,2017-05-13,Valencia,296.025,296.025,296.025,0.0,21.666666666666668
4329,2017-05-14,Valencia,295.65,295.65,295.65,0.0,16.666666666666668
